nss_state_name,nss_district_code,district_name,spei_state_name,spei_district_code,nss_state_code,NSS_code,nss_district_code19
Bihar,26,sheikhpura,BIHAR,586,10,102,1026
Bihar,3,sheohar,BIHAR,587,10,101,1003
Bihar,4,sitamarhi,BIHAR,590,10,101,1004
Bihar,16,siwan,BIHAR,591,10,101,1016
Bihar,6,supaul,BIHAR,596,10,101,1006
Bihar,18,vaishali,BIHAR,608,10,101,1018
Chandigarh,1,chandigarh,CHANDIGARH,87,4,41,401
Chattisgarh,24,balod,CHHATTISGARH,42,22,222,2224
Chattisgarh,19,balodabazar,CHHATTISGARH,43,22,222,2219
Chattisgarh,27,balrampur,CHHATTISGARH,44,22,221,2227
Chattisgarh,15,bastar,CHHATTISGARH,55,22,223,2215
Chattisgarh,23,bemetara,CHHATTISGARH,58,22,222,2223
Chattisgarh,18,bijapur,CHHATTISGARH,69,22,223,2218
Chattisgarh,7,bilaspur,CHHATTISGARH,72,22,222,2207
Chattisgarh,17,dakshin bastar dantewada,CHHATTISGARH,107,22,223,2217
Chattisgarh,13,dhamtari,CHHATTISGARH,116,22,222,2213
Chattisgarh,10,durg,CHHATTISGARH,127,22,222,2210
Chattisgarh,20,gariyaband,CHHATTISGARH,144,22,222,2220
Chattisgarh,6,janjgir-champa,CHHATTISGARH,181,22,222,2206
Chattisgarh,3,jashpur,CHHATTISGARH,182,22,222,2203
Chattisgarh,8,kabeerdham,CHHATTISGARH,192,22,222,2208
Chattisgarh,21,kondagaon,CHHATTISGARH,220,22,223,2221
Chattisgarh,5,korba,CHHATTISGARH,223,22,222,2205
Chattisgarh,1,koriya,CHHATTISGARH,224,22,221,2201
Chattisgarh,12,mahasamund,CHHATTISGARH,237,22,222,2212
Chattisgarh,25,mungeli,CHHATTISGARH,256,22,222,2225
Chattisgarh,16,narayanpur,CHHATTISGARH,262,22,223,2216
Chattisgarh,4,raigarh,CHHATTISGARH,297,22,222,2204
Chattisgarh,11,raipur,CHHATTISGARH,298,22,222,2211
Chattisgarh,9,rajnandgaon,CHHATTISGARH,300,22,222,2209
Chattisgarh,22,sukama,CHHATTISGARH,354,22,223,2222
Chattisgarh,26,surajpur,CHHATTISGARH,357,22,221,2226
Chattisgarh,2,surguja,CHHATTISGARH,358,22,221,2202
Chattisgarh,14,uttar bastar kanker,CHHATTISGARH,197,22,223,2214
Dadra & Nagar Haveli,1,dadra  & nagar haveli,DADRA & NAGAR HAVELI & DAMAN & DIU,709,26,261,2601
Daman & Diu,2,daman,DADRA & NAGAR HAVELI & DAMAN & DIU,104,25,251,2502
Daman & Diu,1,diu,DADRA & NAGAR HAVELI & DAMAN & DIU,432,25,251,2501
Delhi,6,central,DELHI,80,7,71,706
Delhi,4,east,DELHI,128,7,71,704
Delhi,5,new delhi,DELHI,267,7,71,705
Delhi,2,north,DELHI,270,7,71,702
Delhi,3,north east,DELHI,273,7,71,703
Delhi,1,north west,DELHI,276,7,71,701
Delhi,9,south,DELHI,345,7,71,709
Delhi,8,south west,DELHI,351,7,71,708
Delhi,7,west,SIKKIM,382,7,71,707
Goa,1,north goa,GOA,274,30,301,3001
Goa,2,south goa,GOA,349,30,302,3002
Gujarat,7,ahmadabad,GUJARAT,2,24,242,2407
Gujarat,13,amreli,GUJARAT,431,24,245,2413
Gujarat,15,anand,GUJARAT,3,24,242,2415
Gujarat,27,arvalli,GUJARAT,28,24,242,2427
Gujarat,2,banas kantha,GUJARAT,46,24,243,2402
Gujarat,21,bharuch,GUJARAT,8,24,241,2421
Gujarat,14,bhavnagar,GUJARAT,7,24,245,2414
Gujarat,28,botad,GUJARAT,436,24,245,2428
